"country_code","gender","n"
"AD","female",0
"AD","male",2
"AE","female",2
"AE","male",24
"AF","female",0
"AF","male",3
"AL","female",0
"AL","male",1
"AM","female",0
"AM","male",8
"AO","female",0
"AO","male",2
"AQ","female",0
"AQ","male",1
"AR","female",152
"AR","male",2260
"AT","female",134
"AT","male",2780
"AU","female",120
"AU","male",1573
"AZ","female",0
"AZ","male",9
"BA","female",1
"BA","male",16
"BB","female",0
"BB","male",1
"BD","female",137
"BD","male",2143
"BE","female",167
"BE","male",2005
"BG","female",7
"BG","male",80
"BH","female",0
"BH","male",1
"BJ","female",0
"BJ","male",6
"BO","female",1
"BO","male",15
"BR","female",313
"BR","male",3711
"BT","female",0
"BT","male",1
"BY","female",7
"BY","male",67
"CA","female",174
"CA","male",1707
"CG","female",0
"CG","male",2
"CH","female",354
"CH","male",4880
"CI","female",1
"CI","male",5
"CL","female",41
"CL","male",521
"CM","female",0
"CM","male",5
"CN","female",117
"CN","male",1283
"CO","female",351
"CO","male",4588
"CR","female",2
"CR","male",50
"CU","female",1
"CU","male",3
"CY","female",0
"CY","male",7
"CZ","female",45
"CZ","male",1040
"DE","female",109
"DE","male",2156
"DK","female",262
"DK","male",3635
"DO","female",2
"DO","male",20
"DZ","female",1
"DZ","male",13
"EC","female",1
"EC","male",34
"EE","female",0
"EE","male",34
"EG","female",348
"EG","male",3180
"ES","female",370
"ES","male",4674
"ET","female",0
"ET","male",5
"FI","female",265
"FI","male",3410
"FR","female",111
"FR","male",1757
"GA","female",0
"GA","male",1
"GB","female",162
"GB","male",1979
"GE","female",0
"GE","male",4
"GH","female",1
"GH","male",8
"GP","female",0
"GP","male",1
"GR","female",5
"GR","male",69
"GT","female",2
"GT","male",24
"GY","female",0
"GY","male",2
"HK","female",5
"HK","male",57
"HN","female",1
"HN","male",9
"HR","female",0
"HR","male",43
"HT","female",0
"HT","male",1
"HU","female",5
"HU","male",60
"ID","female",348
"ID","male",3302
"IE","female",231
"IE","male",2829
"IL","female",57
"IL","male",886
"IM","female",0
"IM","male",2
"IN","female",171
"IN","male",2867
"IQ","female",0
"IQ","male",4
"IR","female",4
"IR","male",52
"IS","female",2
"IS","male",4
"IT","female",200
"IT","male",4228
"JE","female",0
"JE","male",1
"JM","female",0
"JM","male",3
"JO","female",1
"JO","male",7
"JP","female",48
"JP","male",684
"KE","female",5
"KE","male",62
"KG","female",0
"KG","male",3
"KH","female",1
"KH","male",3
"KN","female",0
"KN","male",1
"KR","female",108
"KR","male",1111
"KW","female",0
"KW","male",4
"KZ","female",0
"KZ","male",6
"LB","female",0
"LB","male",4
"LI","female",0
"LI","male",1
"LK","female",2
"LK","male",15
"LR","female",0
"LR","male",3
"LT","female",0
"LT","male",28
"LU","female",0
"LU","male",13
"LV","female",0
"LV","male",21
"LY","female",0
"LY","male",2
"MA","female",1
"MA","male",36
"MC","female",0
"MC","male",1
"MD","female",0
"MD","male",13
"MK","female",0
"MK","male",9
"MM","female",0
"MM","male",6
"MO","female",0
"MO","male",1
"MQ","female",1
"MQ","male",1
"MR","female",0
"MR","male",2
"MT","female",0
"MT","male",6
"MU","female",0
"MU","male",2
"MV","female",0
"MV","male",2
"MW","female",1
"MW","male",0
"MX","female",183
"MX","male",2516
"MY","female",8
"MY","male",46
"MZ","female",0
"MZ","male",1
"NE","female",0
"NE","male",1
"NG","female",37
"NG","male",676
"NI","female",0
"NI","male",6
"NL","female",370
"NL","male",4553
"NO","female",213
"NO","male",3069
"NP","female",1
"NP","male",37
"NZ","female",317
"NZ","male",2998
"OM","female",0
"OM","male",1
"PA","female",0
"PA","male",9
"PE","female",3
"PE","male",48
"PH","female",284
"PH","male",1804
"PK","female",195
"PK","male",5040
"PL","female",523
"PL","male",5355
"PR","female",1
"PR","male",11
"PS","female",0
"PS","male",3
"PT","female",381
"PT","male",4039
"PY","female",0
"PY","male",9
"QA","female",0
"QA","male",1
"RE","female",0
"RE","male",1
"RO","female",377
"RO","male",2825
"RS","female",8
"RS","male",65
"RU","female",112
"RU","male",1882
"RW","female",1
"RW","male",9
"SA","female",5
"SA","male",18
"SD","female",0
"SD","male",3
"SE","female",20
"SE","male",353
"SG","female",44
"SG","male",478
"SI","female",0
"SI","male",24
"SK","female",1
"SK","male",33
"SL","female",0
"SL","male",1
"SN","female",0
"SN","male",3
"SV","female",0
"SV","male",6
"SX","female",0
"SX","male",1
"SY","female",0
"SY","male",3
"TG","female",0
"TG","male",1
"TH","female",1
"TH","male",26
"TJ","female",0
"TJ","male",1
"TN","female",4
"TN","male",20
"TR","female",363
"TR","male",4774
"TT","female",1
"TT","male",1
"TW","female",149
"TW","male",1392
"TZ","female",0
"TZ","male",5
"UA","female",404
"UA","male",4497
"UG","female",2
"UG","male",11
"US","female",1171
"US","male",10321
"UY","female",2
"UY","male",26
"UZ","female",0
"UZ","male",2
"VE","female",4
"VE","male",115
"VN","female",77
"VN","male",1332
"XK","female",0
"XK","male",3
"YE","female",0
"YE","male",2
"ZA","female",103
"ZA","male",1560
"ZM","female",0
"ZM","male",3
"ZW","female",0
"ZW","male",5
