"country_code","age_at_birth","age_at_birth_estim_date"
"AT",29,2014
"AU",28.7,2014
"BD",18.5,2014
"BE",28.6,2013
"CA",28.1,2012
"CH",30.7,2014
"CO",21.7,2015
"CZ",28.1,2014
"DE",29.4,2015
"DK",29.1,2015
"EG",22.7,2014
"ES",30.7,2015
"FI",28.8,2015
"FR",28.1,2010
"GB",28.5,2014
"ID",22.8,2012
"IE",30.7,2015
"IL",27.6,2015
"IT",30.7,2014
"KR",31,2014
"MX",21.3,2008
"NG",20.3,2013
"NL",29.6,2015
"NO",28.9,2015
"NZ",27.8,2009
"PH",22.8,2017
"PK",23.6,2017
"PL",27.4,2014
"PT",30.2,2015
"RO",26.7,2014
"RU",24.6,2009
"SG",30.5,2015
"TR",22.3,2010
"UA",24.9,2014
"US",26.4,2015
