"country_code","year","week","covid_deaths_week","covid_school_closing","covid_workplace_closing","covid_stay_home_restrictions","covid_stringency_index","date"
"AR",2020,1,0,0,0,0,0,2020-01-06
"AR",2020,2,0,0,0,0,0,2020-01-13
"AR",2020,3,0,0,0,0,0,2020-01-20
"AR",2020,4,0,0,0,0,6.34857142857143,2020-01-27
"AR",2020,5,0,0,0,0,11.11,2020-02-03
"AR",2020,6,0,0,0,0,11.11,2020-02-10
"AR",2020,7,0,0,0,0,11.11,2020-02-17
"AR",2020,8,0,0,0,0,11.11,2020-02-24
"AR",2020,9,0,0,0,0,11.11,2020-03-02
"AR",2020,10,1,0,0,0,11.11,2020-03-09
"AR",2020,11,1,0,0,0,21.0314285714286,2020-03-16
"AR",2020,12,2,3,3,3,66.6685714285714,2020-03-23
"AR",2020,13,19,3,3,3,100,2020-03-30
"AR",2020,14,25,3,3,3,100,2020-04-06
"AR",2020,15,49,3,3,3,100,2020-04-13
"AR",2020,16,39,3,3,3,100,2020-04-20
"AR",2020,17,61,3,3,3,99.7357142857143,2020-04-27
"AR",2020,18,63,3,3,2,88.89,2020-05-04
"AR",2020,19,54,3,3,2,88.89,2020-05-11
"AR",2020,20,68,3,2,2,91.2685714285714,2020-05-18
"AR",2020,21,85,3,2,2,90.74,2020-05-25
"AR",2020,22,89,3,2,2,90.74,2020-06-01
"AR",2020,23,137,3,2,2,89.9471428571429,2020-06-08
"AR",2020,24,161,3,2,2,88.89,2020-06-15
"AR",2020,25,189,3,2,2,88.89,2020-06-22
"AR",2020,26,237,3,2,2,88.89,2020-06-29
"AR",2020,27,302,3,3,2,89.9457142857143,2020-07-06
"AR",2020,28,321,3,3,2,92.59,2020-07-13
"AR",2020,29,470,3,3,2,92.59,2020-07-20
"AR",2020,30,686,3,2,2,90.74,2020-07-27
"AR",2020,31,754,3,2,2,90.74,2020-08-03
"AT",2020,1,0,0,0,0,0,2020-01-06
"AT",2020,2,0,0,0,0,0,2020-01-13
"AT",2020,3,0,0,0,0,0,2020-01-20
"AT",2020,4,0,0,0,0,0,2020-01-27
"AT",2020,5,0,0,0,0,0,2020-02-03
"AT",2020,6,0,0,0,0,0,2020-02-10
"AT",2020,7,0,0,0,0,0,2020-02-17
"AT",2020,8,0,0,0,0,0,2020-02-24
"AT",2020,9,0,0,0,0,11.11,2020-03-02
"AT",2020,10,0,0,0,0,11.11,2020-03-09
"AT",2020,11,5,0,1,0,35.45,2020-03-16
"AT",2020,12,38,3,3,2,85.19,2020-03-23
"AT",2020,13,105,3,3,2,85.19,2020-03-30
"AT",2020,14,136,3,3,2,85.19,2020-04-06
"AT",2020,15,136,3,3,2,85.19,2020-04-13
"AT",2020,16,99,3,2,2,82.01,2020-04-20
"AT",2020,17,65,3,2,2,79.8914285714286,2020-04-27
"AT",2020,18,37,3,2,2,74.7342857142857,2020-05-04
"AT",2020,19,21,2,2,0,64.81,2020-05-11
"AT",2020,20,9,2,2,0,59.26,2020-05-18
"AT",2020,21,10,1,2,0,55.56,2020-05-25
"AT",2020,22,4,1,2,0,53.1771428571429,2020-06-01
"AT",2020,23,5,0,2,0,45.7685714285714,2020-06-08
"AT",2020,24,13,0,2,0,43.52,2020-06-15
"AT",2020,25,8,0,2,0,43.52,2020-06-22
"AT",2020,26,9,0,2,0,43.52,2020-06-29
"AT",2020,27,1,0,2,0,43.52,2020-07-06
"AT",2020,28,4,0,2,0,38.36,2020-07-13
"AT",2020,29,2,0,1,0,31.48,2020-07-20
"AT",2020,30,5,0,1,0,31.48,2020-07-27
"AT",2020,31,2,0,1,0,31.48,2020-08-03
"AU",2020,1,0,0,0,0,0,2020-01-06
"AU",2020,2,0,0,0,0,0,2020-01-13
"AU",2020,3,0,0,0,0,0,2020-01-20
"AU",2020,4,0,0,0,0,3.17428571428571,2020-01-27
"AU",2020,5,0,0,0,0,13.49,2020-02-03
"AU",2020,6,0,0,0,0,19.44,2020-02-10
"AU",2020,7,0,0,0,0,19.44,2020-02-17
"AU",2020,8,0,0,0,0,19.44,2020-02-24
"AU",2020,9,1,0,0,0,19.44,2020-03-02
"AU",2020,10,2,0,0,0,19.44,2020-03-09
"AU",2020,11,3,0,0,0,19.44,2020-03-16
"AU",2020,12,2,0,0,0,40.4757142857143,2020-03-23
"AU",2020,13,11,3,2,1,66.6685714285714,2020-03-30
"AU",2020,14,22,3,2,2,72.3571428571429,2020-04-06
"AU",2020,15,21,3,2,2,73.15,2020-04-13
"AU",2020,16,10,3,2,2,72.09,2020-04-20
"AU",2020,17,12,2,2,2,69.44,2020-04-27
"AU",2020,18,12,2,2,2,69.44,2020-05-04
"AU",2020,19,2,2,2,2,69.44,2020-05-11
"AU",2020,20,2,2,2,2,67.4571428571429,2020-05-18
"AU",2020,21,3,2,1,1,67.13,2020-05-25
"AU",2020,22,0,2,1,1,64.4871428571429,2020-06-01
"AU",2020,23,0,2,1,0,62.04,2020-06-08
"AU",2020,24,0,0,1,0,53.1085714285714,2020-06-15
"AU",2020,25,0,0,1,0,46.76,2020-06-22
"AU",2020,26,1,2,1,0,51.5171428571429,2020-06-29
"AU",2020,27,2,3,2,2,64.2171428571429,2020-07-06
"AU",2020,28,2,3,2,3,73.6085714285714,2020-07-13
"AU",2020,29,15,2,2,2,69.6457142857143,2020-07-20
"AU",2020,30,38,2,2,2,68.06,2020-07-27
"AU",2020,31,60,2,2,2,69.1171428571429,2020-08-03
"BD",2020,1,0,0,0,0,0,2020-01-06
"BD",2020,2,0,0,0,0,0,2020-01-13
"BD",2020,3,0,0,0,0,0,2020-01-20
"BD",2020,4,0,0,0,0,5.95,2020-01-27
"BD",2020,5,0,0,0,0,13.0957142857143,2020-02-03
"BD",2020,6,0,0,0,0,13.89,2020-02-10
"BD",2020,7,0,0,0,0,13.89,2020-02-17
"BD",2020,8,0,0,0,0,13.89,2020-02-24
"BD",2020,9,0,0,0,0,13.89,2020-03-02
"BD",2020,10,0,0,0,0,13.89,2020-03-09
"BD",2020,11,0,0,0,0,13.89,2020-03-16
"BD",2020,12,3,3,3,2,59.2585714285714,2020-03-23
"BD",2020,13,2,3,3,1,83.2014285714286,2020-03-30
"BD",2020,14,7,3,3,1,86.6428571428572,2020-04-06
"BD",2020,15,27,3,3,1,89.42,2020-04-13
"BD",2020,16,62,3,3,2,93.52,2020-04-20
"BD",2020,17,51,3,3,2,93.52,2020-04-27
"BD",2020,18,30,3,3,2,91.93,2020-05-04
"BD",2020,19,57,3,2,2,89.81,2020-05-11
"BD",2020,20,110,3,2,2,90.34,2020-05-18
"BD",2020,21,152,3,3,2,93.52,2020-05-25
"BD",2020,22,171,3,3,2,89.1542857142857,2020-06-01
"BD",2020,23,258,3,1,1,62.96,2020-06-08
"BD",2020,24,279,3,1,1,62.96,2020-06-15
"BD",2020,25,293,3,1,2,72.8857142857143,2020-06-22
"BD",2020,26,281,3,1,2,74.54,2020-06-29
"BD",2020,27,313,3,1,2,74.54,2020-07-06
"BD",2020,28,295,3,1,2,74.54,2020-07-13
"BD",2020,29,277,3,3,2,77.7114285714286,2020-07-20
"BD",2020,30,297,3,3,2,80.09,2020-07-27
"BD",2020,31,219,3,3,2,80.09,2020-08-03
"BE",2020,1,0,0,0,0,0,2020-01-06
"BE",2020,2,0,0,0,0,0,2020-01-13
"BE",2020,3,0,0,0,0,0,2020-01-20
"BE",2020,4,0,0,0,0,0,2020-01-27
"BE",2020,5,0,0,0,0,7.14428571428571,2020-02-03
