"country_code","gdp_per_capita"
"AR","11683.9496216363"
"AU","57395.9194663167"
"AT","51499.8853614086"
"BE","47472.1367302078"
"BD","1698.26280233547"
"BR","9001.23424863499"
"CA","46234.3507461125"
"CH","82828.797372173"
"CL","15923.3587375381"
"CN","9770.84708783314"
"CO","6667.7906995498"
"CZ","23069.383245434"
"DE","47615.7400276733"
"DK","61390.6930097009"
"EG","2549.13225178609"
"ES","30323.651062874"
"FI","50175.2998156593"
"FR","41469.9195544229"
"GB","42962.4127663553"
"ID","3893.59607757239"
"IN","2009.97885727039"
"IE","78582.9480997567"
"IL","41719.7254417057"
"IT","34488.6388549862"
"KR","31380.1464468654"
"MX","9673.44367360619"
"NG","2028.18197017598"
"NL","53022.1913911959"
"NO","81734.4655736102"
"NZ","42330.9063973053"
"PK","1482.40306306798"
"PH","3102.71336329931"
"PL","15422.4534677396"
"PT","23403.2176426469"
"RO","12306.1097482049"
"RU","11288.8784475021"
"SG","64581.9440183954"
"TR","9370.1763438282"
"UA","3095.17358053586"
"US","62886.8364845599"
"VN","2566.59694958511"
"ZA","6374.02819575944"
