"country_code","gender","dev_samplesize","dev_age_mean","dev_age_median","dev_age_sd","dev_age_n","dev_mostly_remote_share","dev_mostly_remote_n","dev_dependents_share","dev_dependents_n","dev_hobby_share","dev_hobby_n","dev_prof_share","dev_prof_n"
"AR","female",105,30.8518518518519,30,6.83886619591015,54,0.104761904761905,40,0.123809523809524,78,0.60952380952381,105,0.476190476190476,64
"AR","male",1310,31.3319946452477,30,8.84417268714709,747,0.141984732824427,561,0.19236641221374,841,0.767175572519084,1310,0.562595419847328,941
"AT","female",114,30.7540983606557,29,7.49367675155732,61,0.0614035087719298,52,0.0789473684210526,56,0.614035087719298,114,0.517543859649123,88
"AT","male",2030,29.7847411444142,29,9.08204941084966,1101,0.0625615763546798,874,0.150738916256158,1207,0.868965517241379,2030,0.531034482758621,1512
"AU","female",326,32.7613636363636,32,9.18196283800155,176,0.0644171779141104,130,0.113496932515337,187,0.677914110429448,326,0.55521472392638,239
"AU","male",4612,33.3411714770798,32,10.3096126555215,2356,0.0730702515177797,1983,0.241543798785776,2983,0.829358196010408,4612,0.533824804856895,3214
"BD","female",52,25.5238095238095,25,3.95751244620971,21,0.0192307692307692,12,0.307692307692308,30,0.730769230769231,52,0.461538461538462,39
"BD","male",1343,26.6237964236589,26,4.8097923418504,727,0.0878629932985853,425,0.313477289650037,803,0.784065524944155,1343,0.486224869694713,983
"BE","female",63,29.4,27,5.59516598082141,35,0.0634920634920635,29,0.111111111111111,39,0.698412698412698,63,0.587301587301587,46
"BE","male",1844,31.2008032128514,29,9.59500704315639,996,0.0422993492407809,804,0.183297180043384,1158,0.84002169197397,1844,0.529826464208243,1320
"BR","female",252,27.3540372670807,26,8.3818329870979,161,0.0674603174603175,97,0.0674603174603175,147,0.595238095238095,252,0.603174603174603,193
"BR","male",5171,29.2138852242744,28,7.82020463955005,3032,0.072713208276929,1965,0.161670856700832,3261,0.760587894024367,5171,0.555405144072713,3647
"CA","female",844,30.4526066350711,29,8.68484252167932,422,0.0710900473933649,361,0.100710900473934,496,0.611374407582938,844,0.536729857819905,632
"CA","male",8163,31.921213592233,30,10.0346436317745,4120,0.0801176038221242,3631,0.187553595491853,4977,0.810976356731594,8163,0.555310547592797,5946
"CH","female",90,27.8269230769231,27,9.19659176819487,52,0.0333333333333333,40,0.1,50,0.533333333333333,90,0.5,70
"CH","male",2462,30.9838461538462,30,9.57361417396726,1300,0.0426482534524777,1102,0.170999187652315,1487,0.842810722989439,2462,0.533712428919578,1785
"CL","female",36,27.3636363636364,27.5,3.41628389789193,22,0.0555555555555556,10,0.166666666666667,26,0.666666666666667,36,0.472222222222222,23
"CL","male",512,31.2441471571906,30,7.55142931879757,299,0.099609375,208,0.21484375,310,0.791015625,512,0.529296875,381
"CN","female",74,25.5454545454545,25,5.1966991271558,33,0.027027027027027,26,0.283783783783784,54,0.756756756756757,74,0.351351351351351,46
"CN","male",1270,27.1913477537438,26,6.07686802669482,601,0.0401574803149606,487,0.303149606299213,818,0.854330708661417,1270,0.462992125984252,898
"CO","female",45,28.5714285714286,28,3.96952678000072,21,0.2,22,0.177777777777778,29,0.688888888888889,45,0.533333333333333,33
"CO","male",816,29.3050847457627,28,7.3542552057886,472,0.128676470588235,312,0.176470588235294,504,0.737745098039216,816,0.563725490196078,587
"CZ","female",65,29.1190476190476,28,5.46475349656002,42,0.0461538461538462,35,0.184615384615385,50,0.676923076923077,65,0.476923076923077,52
