"country_code","gender","covid","mean_weekly_contribs","sd_weekly_contribs"
"AR","female",-1,1.51893513310836,8.42823715027538
"AR","female",1,1.53641370869033,6.40875460035715
"AR","male",-1,2.06516109209025,7.41742437910636
"AR","male",1,2.52857721109087,8.38451368921596
"AT","female",-1,1.33804430863254,6.38504147202569
"AT","female",1,1.00517955801105,4.86959202919377
"AT","male",-1,3.19764595593979,10.1167096590614
"AT","male",1,3.2924620130995,10.6377407304144
"AU","female",-1,1.93991989319092,8.14021407106094
"AU","female",1,2.2317880794702,8.32711648872338
"AU","male",-1,2.55634923211793,9.10290677446044
"AU","male",1,2.85155927794169,9.71692693024327
"BD","female",-1,0.380241240666284,2.37204508237174
"BD","female",1,0.759252605102407,3.49029151838755
"BD","male",-1,1.43378028043375,6.67315708290848
"BD","male",1,1.66788998938804,6.88058289548499
"BE","female",-1,1.41832669322709,6.08140122450295
"BE","female",1,1.31364392678869,5.68571874989061
"BE","male",-1,2.41446563512055,8.87838899374323
"BE","male",1,2.7288189840428,9.80629852662444
"BR","female",-1,1.25026214610276,4.79875778889858
"BR","female",1,1.52562225475842,6.00433064907979
"BR","male",-1,2.16584749718553,8.06725556535952
"BR","male",1,2.60823527953083,8.75176802489446
"CA","female",-1,1.71428571428571,6.35442600746502
"CA","female",1,2.17940552016985,7.80432860411925
"CA","male",-1,2.74666370723858,9.19880703040998
"CA","male",1,3.10399763580678,9.79644582218155
"CH","female",-1,1.08087974459028,4.55796870725217
"CH","female",1,1.10934458144062,4.99388400491082
"CH","male",-1,3.30130581057193,10.3977638353166
"CH","male",1,3.5942272083651,11.1672114689618
"CN","female",-1,1.1296803652968,5.36541560190034
"CN","female",1,0.818604651162791,4.56897031782246
"CN","male",-1,1.27521986549405,5.79991417648559
"CN","male",1,1.15862830694788,5.92381869936711
"CO","female",-1,1.21308148610677,6.07553473932054
"CO","female",1,1.88888888888889,7.43036401751834
"CO","male",-1,1.5504691020367,6.48709742495116
"CO","male",1,2.11637068789549,7.89793764556495
"DE","female",-1,2.3468045112782,8.07609723967411
"DE","female",1,2.37489177489178,8.50641985475205
"DE","male",-1,3.28346821319103,10.1591106304705
"DE","male",1,3.61136193431047,10.8246193199271
